"bcf_1k_pehe1","bcf_1k_pehe2","bcf_0.5k_pehe1","bcf_0.5k_pehe2","bcf_0.25k_pehe1","bcf_0.25k_pehe2","bcf_0.1k_pehe1","bcf_0.1k_pehe2","bcf_0.05k_pehe1","bcf_0.05k_pehe2","bcf_1k_rmse1","bcf_1k_rmse2","bcf_0.5k_rmse1","bcf_0.5k_rmse2","bcf_0.25k_rmse1","bcf_0.25k_rmse2","bcf_0.1k_rmse1","bcf_0.1k_rmse2","bcf_0.05k_rmse1","bcf_0.05k_rmse2","bcf_1k_mape1","bcf_1k_mape2","bcf_0.5k_mape1","bcf_0.5k_mape2","bcf_0.25k_mape1","bcf_0.25k_mape2","bcf_0.1k_mape1","bcf_0.1k_mape2","bcf_0.05k_mape1","bcf_0.05k_mape2","bcf_1k_tau_951","bcf_1k_tau_952","bcf_0.5k_tau_951","bcf_0.5k_tau_952","bcf_0.25k_tau_951","bcf_0.25k_tau_952","bcf_0.1k_tau_951","bcf_0.1k_tau_952","bcf_0.05k_tau_951","bcf_0.05k_tau_952","bcf_1k_tau_951w","bcf_1k_tau_952w","bcf_0.5k_tau_951w","bcf_0.5k_tau_952w","bcf_0.25k_tau_951w","bcf_0.25k_tau_952w","bcf_0.1k_tau_951w","bcf_0.1k_tau_952w","bcf_0.05k_tau_951w","bcf_0.05k_tau_952w"
0.517288836671762,0.714742044840067,0.625519743551397,0.851680660165454,0.765174488899044,0.945558395055098,0.772038879365603,0.939705533887526,0.506946657433844,0.634518121886136,0.852011891421063,0.844047591059883,0.861795594028166,1.14729841262517,1.09061828738299,0.91129928378807,0.75622704867979,1.01805108728562,0.927164680507062,0.738343804274337,1.12022582274713,0.642127857360906,1.1292922352517,0.896150413656301,1.2425701600888,0.761586687474708,0.92369285051767,0.79663432475579,1.2268062041412,0.598040168244486,0.966,0.97,0.952,0.814,0.918,0.836,0.826,0.798,0.97,0.978,2.03033975120913,2.37728189632375,2.09823853471346,2.11061492020214,2.03688651223119,2.28285595668639,1.88005641118343,2.20690220039589,2.01896921676563,2.25311477959614
0.555425411002842,0.626140338279442,0.629193188723426,0.759299172490811,0.747118224402238,0.843352153551495,0.854642781182823,0.933079659580635,0.447774227329547,0.63390043281681,0.757511625566105,1.00019181443708,0.909524907907575,0.94869697710949,0.817217749722068,0.845649829315838,1.12887399315446,0.904337822084442,0.841888731660158,0.750365272705258,1.00046439249954,0.772911839845813,1.13736561008897,0.769369524070596,1.03235067917421,0.625279570522636,1.28319863805565,0.696463415566967,1.14701043990391,0.575795359721539,0.958,0.964,0.96,0.952,0.898,0.856,0.778,0.776,0.972,0.982,1.9851554215031,2.25989065393028,2.04227202004079,2.30681255616133,1.99916731424372,2.31094815843765,2.23621629983294,2.19113706722557,2.06748358830944,2.33801477425008
0.527468438148574,0.729794196094971,0.584436077836649,0.828046218610065,0.742272022326102,0.947765959148007,0.86627140490431,0.987289610632666,0.497293239227865,0.668462787452343,0.779449989105195,0.751857687695069,0.883212182838908,0.864251058232803,0.903370860878432,0.829782073274558,0.851064373507679,0.858355510455989,0.941473197228471,0.748038632337104,1.0140496701547,0.547031263191042,1.10521699179968,0.621132750863041,1.08255923620798,0.624417178987484,1.02016754431775,0.627804109393553,1.14169787905668,0.591807784648633,0.97,0.94,0.948,0.922,0.89,0.912,0.712,0.79,0.974,0.972,2.05240663554681,2.33156458331381,2.04389117334228,2.53302072829223,1.91835531814649,2.57275441174662,1.82508758925037,2.39045008500313,2.06502094303139,2.34477316697673
0.556553867270863,0.726865198676128,0.600515957736186,0.836302462325994,0.716676924906678,0.926906564528527,0.814459445128125,0.9742958526827,0.524480837298394,0.644421241345859,0.901403464896843,1.02581714597906,0.965257297273278,0.841532691418115,0.835702714801354,0.913657179826792,1.02607757616876,0.886478378401264,0.999450324397119,0.761241112277946,1.13363498390382,0.785607439598679,1.15305189331542,0.634519833153341,0.943833405724763,0.673142749399583,1.13993852718732,0.68098411053637,1.23345619963318,0.603882459586766,0.972,0.914,0.956,0.938,0.914,0.836,0.832,0.81,0.964,0.964,2.11756078258452,2.17364720166198,2.0961807824506,2.42485156848264,2.18877511514009,2.38663709489933,2.12403664343349,2.31005998449221,2.06376555051182,2.22896879368986
0.535506905131382,0.725534236358161,0.614858671527773,0.807998295374354,0.788850990827715,0.912937805111175,0.861664571640493,0.993376299901809,0.470648528284594,0.625620365415673,0.817446564920703,0.979315070875024,0.881899686220382,0.720193118282465,0.85283492837327,0.785514826041002,1.09356433474836,1.17650721002753,0.774318293739901,0.821737895975783,1.09332430450113,0.727061710819013,1.1215019349438,0.530935378496703,1.05069826384847,0.621734112034392,1.18952409541783,0.955064433464201,1.02954831700499,0.616291863314511,0.966,0.964,0.964,0.896,0.84,0.858,0.746,0.68,0.978,0.968,2.02122785839758,2.3918357601406,2.16109764037757,2.36413417592945,2.01487621260136,2.3255185510877,2.2245284367395,2.08909595596075,2.03795246392627,2.29118965428414
0.57609179987323,0.755362997094169,0.652554231144163,0.909888982613297,0.754337417137275,0.839925756730756,0.761448386228262,0.994566806716595,0.480900203280211,0.639890903864044,1.06430658704324,1.09655981087758,0.990649956861965,1.27896066298103,1.03492741736723,0.847606174845204,0.958853602290532,0.897069200599021,0.749286828960145,0.872667034553353,1.29069438507852,0.831357778793193,1.20283258317645,1.00713439569799,1.1804514403964,0.630143968804144,1.11534178464986,0.654004327598098,0.98042211225699,0.681944439369305,0.966,0.932,0.96,0.81,0.93,0.868,0.862,0.8,0.972,0.942,2.14133813445612,2.3496311191104,2.18597549227165,2.1391126770524,2.23053767980479,2.3566428895169,2.34499821019384,2.28075901882897,2.09554874348211,2.14659901106073
0.534078021799857,0.679567152302566,0.629842007017521,0.940767189164761,0.742825086065255,0.800432140662022,0.829037482369048,0.988922368958962,0.518149198395906,0.662100696208052,0.795695004423904,1.03166691035292,0.830242374843007,1.3991645301212,0.875584600720986,0.851830806299749,0.928242481310787,0.941629223434029,1.02661783239243,0.903943402401049,1.06645554059754,0.779837307074736,1.03951328190944,1.06852535064514,1.08233643068682,0.626679398168554,1.11511856316988,0.715188618331598,1.27882260266424,0.705363936123834,0.972,0.936,0.958,0.784,0.924,0.896,0.782,0.834,0.97,0.958,2.1738703144037,2.2133576996032,2.13843255018887,2.07600344868175,2.10064473691034,2.24099700430241,2.05318441637606,2.22853461645654,2.01104607453315,2.21456488765595
0.534820051422219,0.784956925324147,0.690293032304506,0.816566175129486,0.791252746287752,0.952346206904187,0.831041670080261,0.973138450778766,0.491540435755929,0.666502980218568,0.912436819280821,0.720018668166637,0.840468411635904,0.819254489474582,1.0176812167398,0.745450016431071,0.974435163749207,0.811836740267356,0.707254164171037,0.919451632977931,1.12708105902155,0.579408015545776,1.06559827897892,0.62781064083379,1.22409345908155,0.562800806184386,1.09885865705333,0.64303421304358,0.922442880053523,0.762473375972117,0.978,0.96,0.944,0.898,0.872,0.774,0.78,0.754,0.968,0.97,2.11871456485985,2.41893837357417,2.03432215789385,2.29075247577678,2.11771250615289,2.11956091766573,2.33374355575251,2.13533511835467,1.93287034706899,2.1774966911588
0.532570843951042,0.824277853773479,0.683060623697749,0.768368151181641,0.754573229043798,0.942228490028459,0.833314354871012,1.05572155084159,0.50028929440534,0.691967385820715,0.855818392294139,0.694604546409617,1.00949860194584,0.872991298460907,0.906482526261581,1.11142770080337,0.930116346194485,1.20632936526833,0.818155797875434,0.671872522819338,1.11453302012078,0.513064045741225,1.23967705732088,0.648770302960611,1.13907197609191,0.859824068973303,1.08544958392216,0.884480398144242,1.08483471451107,0.497473028332111,0.976,0.952,0.926,0.934,0.878,0.78,0.73,0.726,0.968,0.962,2.04145380826522,2.44046446626874,2.07966723513358,2.33138920053627,2.01789218922401,2.1738570609491,1.84215468739459,2.28420567522124,2.09189451951004,2.33320346372305
0.53979538809394,0.755224882875459,0.626076123780711,0.81081957011381,0.770414335666128,0.957790727299106,0.88214828548314,0.981550016649968,0.485561462411349,0.678338850467102,0.982390926639371,1.16032573377644,0.978383793155495,0.878991353752819,0.794478255659434,1.14538728193878,1.16177577449476,0.913192631079674,0.774610724107405,0.822330239618061,1.26684236380842,0.891366857591532,1.21796777954549,0.668883298238386,0.993539157257142,0.869286868182641,1.27005623680773,0.69743022483432,0.991682913604455,0.621562910934786,0.972,0.892,0.966,0.918,0.864,0.712,0.766,0.724,0.974,0.97,2.1225211811803,2.10495895019348,2.1287539471074,2.37888524309789,1.86892960830357,1.99511181443488,2.55706401855737,1.97680318590644,2.0631396286099,2.38546994213749
