"bcf_1k_pehe1","bcf_1k_pehe2","bcf_0.5k_pehe1","bcf_0.5k_pehe2","bcf_0.25k_pehe1","bcf_0.25k_pehe2","bcf_0.1k_pehe1","bcf_0.1k_pehe2","bcf_0.05k_pehe1","bcf_0.05k_pehe2","bcf_1k_rmse1","bcf_1k_rmse2","bcf_0.5k_rmse1","bcf_0.5k_rmse2","bcf_0.25k_rmse1","bcf_0.25k_rmse2","bcf_0.1k_rmse1","bcf_0.1k_rmse2","bcf_0.05k_rmse1","bcf_0.05k_rmse2","bcf_1k_mape1","bcf_1k_mape2","bcf_0.5k_mape1","bcf_0.5k_mape2","bcf_0.25k_mape1","bcf_0.25k_mape2","bcf_0.1k_mape1","bcf_0.1k_mape2","bcf_0.05k_mape1","bcf_0.05k_mape2","bcf_1k_tau_951","bcf_1k_tau_952","bcf_0.5k_tau_951","bcf_0.5k_tau_952","bcf_0.25k_tau_951","bcf_0.25k_tau_952","bcf_0.1k_tau_951","bcf_0.1k_tau_952","bcf_0.05k_tau_951","bcf_0.05k_tau_952","bcf_1k_tau_951w","bcf_1k_tau_952w","bcf_0.5k_tau_951w","bcf_0.5k_tau_952w","bcf_0.25k_tau_951w","bcf_0.25k_tau_952w","bcf_0.1k_tau_951w","bcf_0.1k_tau_952w","bcf_0.05k_tau_951w","bcf_0.05k_tau_952w"
0.349672188241931,0.676529684003203,0.451476787679761,0.732244043805831,0.451494322708049,0.85525786286166,0.569236970452403,0.876426345170548,0.27415617178078,0.598736231878885,0.674670315794517,0.867630244875847,0.671599900159271,0.829391195351845,0.815529477363837,0.834802921223099,0.878994159137289,0.788497291625649,0.687420856242016,0.61191820011077,0.836154552096093,0.846221244228174,0.793312395784901,0.827998704181418,0.989052541207562,0.892700975438913,1.05544711824425,0.880691507379905,0.850194304428954,0.69068947062069,0.984,0.814,0.984,0.778,0.992,0.692,0.964,0.756,0.99,0.922,1.87888322395192,1.86458331994998,2.07205619428713,1.80006977869989,2.21919511769019,1.83352494722009,2.24682677361273,2.13963259831818,1.86905602561226,1.95727744046536
0.332112224532806,0.704688471344214,0.422596185137833,0.748380980378839,0.49271871517138,0.876019027745079,0.555934485881019,0.943826490291485,0.319581478072488,0.687101885219138,0.641651960682676,1.00571463064733,0.750610984262316,0.908906730368745,0.8141736385921,0.856955726991099,0.77937912035707,0.873271129815327,0.678936822285513,1.11740112587886,0.771518508493957,1.01201139074204,1.00563448894945,1.1520739792446,0.956824592223822,0.924496744400337,0.862597020059222,0.977533518262662,0.800178840743304,1.06776130426954,0.994,0.85,0.976,0.772,0.972,0.702,0.918,0.702,0.99,0.82,1.89721443130565,1.96801809808444,1.85561730867519,1.92390858513313,1.95233069552437,1.89297128809263,1.91942524848286,2.04050282259508,2.00837007256941,1.9083143534054
0.430965835597127,0.726026978317215,0.409447852336036,0.819424475300154,0.551332023543319,0.878719081225936,0.552613513580925,0.961881364601349,0.287297627292171,0.665989212297898,0.626986838704049,0.840452354265919,0.6614662323335,0.746881346754048,0.993799584338148,1.05195908661527,0.75755274672693,0.863440867958659,0.665851429813286,0.850086605215413,0.744645279286631,0.88492332229666,0.833570313573461,0.85531283207154,1.20684478958943,1.0193181574748,0.875665394719133,0.902728342031554,0.84121511582361,0.842252778015102,0.986,0.876,0.99,0.842,0.968,0.764,0.912,0.662,0.984,0.85,1.8872655371524,2.02482096978639,1.96554592886277,2.15755226857739,1.99916374941204,2.1662992357217,1.83606352810632,2.09063942190584,1.93030439616855,1.84570674798504
0.330932435192522,0.683858976507249,0.405138728137416,0.746681593201361,0.45097143881832,0.871089075441033,0.521741271368859,0.9315564977978,0.312651435102924,0.58849649037188,0.751456051686772,0.797058523743991,0.671379130326001,0.787577384309778,0.723795222097854,0.793146099556251,0.672004140489034,0.947563101139333,0.580364504276256,0.785440792423889,0.940256274126666,0.77352868904516,0.812631357775767,0.752417199175117,0.871126538184804,0.779156861035539,0.778517803346655,0.998235824528177,0.704908217152872,0.786074512023354,0.986,0.89,0.99,0.812,0.978,0.698,0.914,0.626,0.988,0.894,1.9989889535604,1.97471477161492,1.8928116292064,1.84324600076482,1.88071263340201,1.89860014471819,1.84006772078662,1.7984498270002,1.8227975657074,1.90468741193927
0.338599156811581,0.679633775582555,0.423215164573072,0.795491610052643,0.457420571374922,0.889516375123493,0.536613750176253,0.906289997894015,0.289354968262329,0.66342581749265,0.659822373570985,0.878557883032305,0.670534493057962,0.770363664052746,0.695290071693348,0.979893515613233,0.778810118800152,0.777182233464192,0.774934393868279,0.658135040727019,0.811885418856439,0.843924404150468,0.774005278180067,0.758158035988816,0.821968020958897,0.975661102523901,0.918362323172934,0.874917678553937,0.959874987258265,0.725323216737676,0.99,0.844,0.992,0.808,0.982,0.704,0.912,0.756,0.99,0.88,1.9856137940117,1.88047837786805,2.05906197329423,1.98807257990734,2.06172798630536,2.03731085090703,2.06177667403698,1.93562411785658,1.96485731739447,2.02996977766919
0.350824771713566,0.669812529536831,0.44900320626058,0.775948965714881,0.485573543943474,0.8905687458166,0.595339077321202,0.90662864694326,0.29495164501803,0.652439045659761,0.656147633196845,0.815591035040494,0.723930951043318,0.701238622725475,0.832890342344112,1.07680482104328,0.941473216602998,1.07373767145123,0.749924175452014,0.77211451117482,0.77907790057064,0.81440693637987,0.85510812728456,0.738095842434061,1.02705084816251,1.0675794244164,1.13194182075235,1.09649243790731,0.933636475419194,0.815873623353373,0.988,0.876,0.978,0.738,0.98,0.686,0.912,0.748,0.992,0.858,2.03182248625692,1.9891181827316,1.93191049414518,1.95864612852895,2.02139616066912,1.72908758265361,2.03397828186583,2.2894199215303,1.97868250296357,1.90109342596407
0.326774037233376,0.64433917339969,0.386872096498494,0.788236911200622,0.487509147710836,0.901891887589987,0.538533450479993,0.953958636316711,0.297730979117176,0.715531516279443,0.637906572054194,0.812401702332266,0.71028313739787,0.827869502034549,0.686440194323971,1.1554503992055,1.03509000769214,1.25565328972884,0.63369284244305,0.604718980585438,0.816585849873665,0.859023068141053,0.871318311191922,0.850541585306166,0.855133058427345,1.19049326113283,1.24131755487724,1.27056822026805,0.791812417980953,0.683937164541852,0.99,0.91,0.99,0.828,0.962,0.696,0.984,0.702,0.992,0.874,1.89864760502391,2.16616237831679,2.00954852378216,1.97018922119858,2.01100272995365,1.85140830104145,2.23556586905974,1.9062484734401,1.90548728750058,1.95546456161702
0.365737332431062,0.683033089768188,0.425491156772552,0.743379978386669,0.49919246867747,0.876569787490258,0.5489360428499,0.913629524404823,0.266621801601504,0.615025755376365,0.688290008227828,0.625228796315255,0.695171215518985,0.660155251906317,0.708122210928116,1.11350425285113,0.746560316279095,0.879886630129398,0.762820762355819,0.949902730397467,0.890762556868895,0.676774947886955,0.829403522298675,0.771091842906175,0.853655547558147,1.18926423533742,0.865354746443086,0.908054546135814,0.937270627871143,0.888931204312575,0.992,0.846,0.982,0.852,0.968,0.74,0.912,0.682,0.988,0.87,1.97405987817224,1.96805176841902,1.93699713324172,2.00525175097317,1.99801463752959,1.9982162072488,1.89979782965344,1.90573790840708,1.9311965784877,1.92016083096182
0.406525749871883,0.785041729937626,0.382300449050943,0.811273291725311,0.469801163832857,0.920423838890564,0.539057883284463,0.98290165355318,0.32261621766403,0.674224531750001,0.789914842029022,0.718772051657203,0.701128056414717,0.930987224354322,0.737180625730235,1.05513845046696,0.811417172598299,0.832623642087596,0.657941310178234,0.66876596592008,0.999251744952537,0.778245819385046,0.82278256099617,0.951558893623343,0.909480847752638,1.15021245735626,0.915584555912439,0.916633619878346,0.790773015511702,0.703793149362631,0.986,0.77,0.992,0.762,0.992,0.696,0.946,0.618,0.99,0.862,2.06709365845224,1.93450122867947,2.03716359582545,1.96621801017179,2.1493537032847,1.91794088270858,2.50797428067782,1.85646366716636,1.98901340737288,1.875461911499
0.361962327912835,0.654918753510412,0.475216688398747,0.691835409943766,0.500133262947109,0.90434434870123,0.544979512135268,0.936358214033092,0.310578830633549,0.64741569665434,0.740125936064011,0.863411951920479,0.708104264679865,0.740441329767489,0.727323913628564,1.0301746655564,0.830508071026448,0.782674082583228,0.612713159028247,0.810066824075237,0.899185015070198,0.864578383489733,0.806719895681361,0.85611446338906,0.849975245299134,1.15301275469271,0.937636234418846,0.875532530317122,0.742882297405024,0.79511490386238,0.994,0.914,0.982,0.886,0.982,0.682,0.944,0.682,0.994,0.922,1.99685420150773,2.11981172740466,1.96556725759907,2.09693622265176,1.96087977126979,1.97937000110026,1.98977707133616,1.93290810611967,1.9127081099099,1.98480682348417
