"bcf_1k_pehe1","bcf_1k_pehe2","bcf_0.5k_pehe1","bcf_0.5k_pehe2","bcf_0.25k_pehe1","bcf_0.25k_pehe2","bcf_0.1k_pehe1","bcf_0.1k_pehe2","bcf_0.05k_pehe1","bcf_0.05k_pehe2","bcf_1k_tau_951","bcf_1k_tau_952","bcf_0.5k_tau_951","bcf_0.5k_tau_952","bcf_0.25k_tau_951","bcf_0.25k_tau_952","bcf_0.1k_tau_951","bcf_0.1k_tau_952","bcf_0.05k_tau_951","bcf_0.05k_tau_952","bcf_1k_tau_951w","bcf_1k_tau_952w","bcf_0.5k_tau_951w","bcf_0.5k_tau_952w","bcf_0.25k_tau_951w","bcf_0.25k_tau_952w","bcf_0.1k_tau_951w","bcf_0.1k_tau_952w","bcf_0.05k_tau_951w","bcf_0.05k_tau_952w"
11.4404928760698,9.23306398970622,12.1415486054371,9.09396519147692,13.3693042353724,9.89535819402436,14.6066889227658,10.7647169779863,10.3857833297257,9.36163455580561,0.972,1,0.955,1,0.943,0.999,0.899,0.986,0.982,1,52.5505678291138,47.2459472717906,51.0145210472677,49.5663270939019,55.1417093997487,52.1405463468655,53.3759218586199,46.8491123405781,48.5908028925227,49.1908774986072
10.3519225051567,9.71471407222038,10.9739393018209,8.914808755739,11.4320340289918,10.0855012241434,12.3629305627525,10.9924405757609,10.5157384126716,10.5541345306295,0.986,1,0.991,1,0.989,1,0.984,0.999,0.986,1,50.2524035800948,64.4294191094605,53.6530584936369,61.6537358356615,54.4305229783173,63.8174876778717,56.1795858497646,61.3867598946146,51.5593637790797,64.5694255428318
14.0666244710498,6.31315366050077,15.0420359623027,7.22734249612388,15.7030925962914,7.47819038528133,16.2107550054169,9.24490109644124,13.1524603114173,5.81310588407323,0.887,1,0.849,1,0.837,1,0.811,0.998,0.908,1,37.1648289359316,56.2261766701186,36.6597583821882,55.2478991620331,38.6088863068792,55.4550118660235,37.5930374142609,53.9550377023867,37.7389430958091,55.291255921326
11.402930919857,9.77586618287279,11.0300430232399,10.5538940530266,12.3941276920351,12.2162455460566,13.8405039599094,13.811106580527,10.7936991900561,8.75271037059684,0.993,0.994,0.996,0.981,0.986,0.954,0.949,0.926,0.999,0.998,60.0242472641457,51.6748736162769,60.4243323880995,51.729028799121,62.690933133299,46.7289218620478,58.7455792520115,50.566871131872,59.2899689798074,51.2016334221296
8.08033439441676,8.22530028286123,8.62976322083191,9.17947120548882,8.71829823136579,9.90209074517313,11.2571892554934,11.2659764912699,7.68937624689472,7.96182381360606,1,1,0.999,1,1,1,0.988,1,1,1,55.458970728472,45.0907628423466,56.0699466829928,45.9176194483519,55.7537334459661,44.0168210795001,53.5668661666432,44.5399011703923,52.9776817278846,42.7607182847788
7.93152654684542,9.11169263232096,6.98121432544885,8.78568713182121,7.13344710148734,9.44360189554323,8.42487378789034,10.2477066881375,7.91878576838192,8.64557212457045,1,1,1,1,1,0.999,1,0.989,1,1,49.8459373486854,61.2109605954863,53.6464841813886,60.9069925697108,56.0240940817717,62.8537603012535,51.4811150032739,59.0023808821826,48.6481772593839,60.3221976880875
8.27643950096608,10.0510740166118,8.70892958143899,10.9289350051506,9.31238322773931,11.2812005581551,10.0863449385533,13.9820903259617,8.03674733214497,9.64141426610983,0.999,0.977,0.998,0.959,0.99,0.972,0.988,0.879,0.999,0.988,43.6058430315284,43.3531247311912,45.3260354822033,44.3553811290517,42.6443426507392,48.8506782359623,47.0014135620501,43.2852098401531,42.0032541022564,43.0743220912455
7.93159332426294,16.6909889500508,8.80802788885731,17.8729453086202,9.92284189135509,17.7216773946665,10.4502028408488,17.9689223300468,7.86114625822704,15.630569212525,1,0.86,0.994,0.809,0.992,0.852,0.987,0.81,1,0.884,43.0602710304711,51.4405220898904,41.9475575522062,50.610471945176,46.9523416484117,55.6055825854215,44.772889764786,52.6041534869775,41.9735280488705,50.2653995238711
9.07066329428768,7.40370661755812,9.37548805809805,8.25198223503844,11.584098708624,9.4377402798622,11.6570714817777,10.6297976632521,8.84873932231874,6.83494722293449,1,1,0.997,1,0.989,0.999,0.982,0.999,1,1,48.2847865388781,57.3770745333499,50.4907732984961,58.8990785823579,56.7111735151338,56.445241837249,54.7181525265887,56.3427433844218,47.9901106092213,56.9165275379193
9.28615860867374,14.3410780180522,9.76447022528936,14.6767948800501,10.0410043596305,15.1778419546695,11.5780054226723,16.5710272674035,9.05827775043809,13.6268332070485,0.996,0.899,0.994,0.907,0.995,0.861,0.955,0.841,0.994,0.919,48.6808179821102,46.106550842336,51.5552928236644,47.8894197068732,52.0131220159494,45.8759265914842,50.9712761004777,46.4404954124134,46.9680581785399,45.6778336191082
