"bcf_1k_pehe1","bcf_1k_pehe2","bcf_0.5k_pehe1","bcf_0.5k_pehe2","bcf_0.25k_pehe1","bcf_0.25k_pehe2","bcf_0.1k_pehe1","bcf_0.1k_pehe2","bcf_0.05k_pehe1","bcf_0.05k_pehe2","bcf_1k_tau_951","bcf_1k_tau_952","bcf_0.5k_tau_951","bcf_0.5k_tau_952","bcf_0.25k_tau_951","bcf_0.25k_tau_952","bcf_0.1k_tau_951","bcf_0.1k_tau_952","bcf_0.05k_tau_951","bcf_0.05k_tau_952","bcf_1k_tau_951w","bcf_1k_tau_952w","bcf_0.5k_tau_951w","bcf_0.5k_tau_952w","bcf_0.25k_tau_951w","bcf_0.25k_tau_952w","bcf_0.1k_tau_951w","bcf_0.1k_tau_952w","bcf_0.05k_tau_951w","bcf_0.05k_tau_952w"
7.81895733109099,10.8899319251666,9.02715433028799,10.512612412677,8.76066055544739,11.6432910158351,8.41875308944176,10.0455961920915,7.78346840073356,11.6746403222817,1,0.909,1,0.966,0.999,0.835,1,1,1,1,44.6865474984671,34.5338324206597,74.4489009149235,38.8650484644794,64.8390377212921,31.0989637029238,85.7385055821052,60.7023282613999,53.3562283981621,63.612894976002
8.3674743214266,11.2990220778583,8.42555377414432,10.9953149491331,9.90916698978035,12.1395519099939,19.235694442315,13.0179286752747,11.4121763028886,16.5111261631598,1,0.947,1,0.954,1,0.962,1,0.996,1,0.812,54.3861153502143,42.8221565240549,68.0897502741785,41.7042510139747,86.9036739552533,47.7223204572408,112.35953315505,98.2493152068051,73.061723778149,40.9015710020628
12.6097888801033,7.73022278605871,12.9119455923956,7.89259068395855,15.670527320821,7.88928455991035,16.5934519915161,8.04865749062769,13.0791224360965,12.9679779425884,0.91,1,0.925,1,0.967,1,0.996,1,0.922,1,37.7641572382957,42.2560572688448,43.1831821457201,40.284662776021,55.8165021328447,40.1438178878228,75.6851197783984,68.6896374654693,35.0039685455405,90.3726278775893
6.96059210848755,5.32509666728087,6.69202476489856,5.44853865422461,8.24847144948988,6.05339046155968,8.02853542334726,6.58150251220072,11.4180543217829,10.7748965527762,1,1,1,1,1,1,1,1,0.996,0.996,57.6976654210332,49.7647039262906,52.0048420853207,51.108007864381,64.5993257764807,64.2153487783649,90.7971660138909,50.068668787189,59.4526046057593,47.7780524058039
10.0904844136492,7.71047996211339,13.2340642608049,8.87599373910073,12.1990593444487,6.19623584564176,11.691087491066,8.77113563804293,38.2741365687875,8.6786012182112,0.994,1,0.997,1,0.997,1,1,1,0.949,1,53.1202133693789,47.8208496827808,99.2910684918604,63.6159327492751,61.0588630680715,59.7533565198926,76.8929005583938,79.3840132554522,130.946779666653,53.0771684363305
14.2983107126827,9.50655520107765,16.1139512777116,9.89063000589929,16.0801392574451,9.7726298462336,17.4042235879089,11.3769464335659,14.8096265593596,11.7024973652018,0.93,0.997,0.997,0.999,0.957,0.998,0.967,0.993,0.994,0.986,47.9146078755299,46.5179757765567,64.5422471427135,59.0676481185047,52.6786749322417,64.0228922471152,53.0042412452469,80.9785949643942,53.1846312005854,67.5128474443032
18.8385590318624,12.6563260299742,18.7420526731289,12.3884562300012,21.2383637113153,13.6730431194849,20.239444418616,8.73948721309113,20.7807534748631,21.2904347795374,0.623,0.903,0.593,0.987,0.488,0.899,0.447,1,0.381,0.161,39.1936421477138,39.0932869707836,34.9264460801352,48.1026071822791,39.8863010351021,43.0368443180779,34.6028465709474,117.635322006342,31.0780143172704,17.7399287990864
7.2582695275019,9.4024979911852,7.29293915688713,9.67560551048607,7.56218192485714,9.70568691813711,9.95501884571468,12.9339414959771,8.85605862106719,16.5418063981118,1,0.999,0.997,0.994,0.999,0.994,0.995,0.991,1,0.944,38.7345249626238,55.6019716910962,48.5336252453664,56.1631466799792,48.4611726602902,64.7817997571546,66.6070882412688,106.319009415659,68.5492800588409,86.4372839566338
14.2708173531079,8.38396856939209,14.8102254708088,7.7122462023158,9.25539064194265,11.4232844719083,20.2376631544036,5.21075871701481,20.3520483660054,6.38000744041128,0.974,1,0.981,1,1,1,0.975,1,0.946,1,58.7600621784287,56.5869765408524,63.195724110795,57.9406012532119,70.5587775057796,70.6244046463797,83.7960569719703,91.7229619389818,67.4237767571845,90.3165851488105
8.35106744553172,9.00582851195057,8.34799454049019,10.0231976200573,9.13575952969922,12.4030332956498,16.7181814909557,22.2835472970067,15.5631631535951,24.8615921277654,1,0.997,0.999,0.99,1,0.993,1,0.984,1,0.89,57.8414780708205,47.101062275991,55.3137995229822,58.560400462912,124.114461577095,81.8398693284347,116.307463455216,101.072938422285,80.9131629673973,64.0296982210778
8.34029772366851,13.8723006875425,7.6912578065361,15.40704054453,6.18128709746235,10.8466008522028,12.9119737386913,8.79587248448396,6.95679103308298,5.14751645085903,1,0.955,1,0.847,1,0.997,1,1,1,1,49.0500358612994,52.1772392599299,57.9804118192277,42.5576813182968,73.6182401223675,47.7245004469997,110.842753129007,59.8920411557313,66.9422535670176,54.6054876808194
10.0748076783371,10.3238836572409,10.9332570745996,11.1289161253137,12.5533662896027,11.1180374776219,15.747499438928,10.3853202524972,22.0644280907412,16.2098864833392,0.989,0.984,0.963,0.953,0.979,0.965,0.731,1,0.068,0.927,45.7848865277526,43.9256596259341,46.7155618314321,47.9372418792953,50.2188199682791,47.9550004900343,37.2102824250253,80.2026074636567,18.8831992336799,51.2845318474326
16.6330082439068,7.6644987389004,19.3805472943554,8.28251020640213,19.2450946210443,7.41773778139743,28.9664596174598,8.32104485815134,11.0285195408129,14.3592808606895,0.924,1,0.88,1,0.922,1,0.961,1,0.956,0.476,66.4015271653282,46.2287516154936,84.4431634956137,41.9435777938674,86.8215367861641,52.1632031442998,131.336396158823,77.6195851596236,52.6001179913959,18.6670939164207
8.83300852688805,9.64063289892827,9.27171604134083,9.67979699329277,11.8237115990445,10.3392258425117,19.4224292243811,10.3851336773605,16.9128188398766,12.8616797620088,0.999,0.975,1,0.978,1,0.964,0.994,0.954,0.985,0.939,55.0304429794614,44.0536185117699,70.1557337129246,48.1230446281594,111.109587771957,58.5001070911327,151.410062621921,51.2332929138722,75.2015839714711,53.3011015795062
8.86505532307451,13.4595235899057,8.38215043241113,10.7862792341719,9.08762570242236,17.7234075917531,12.3949179477218,17.0663602177717,9.55671397423489,13.6151199766734,0.992,0.955,0.998,1,0.991,0.934,0.992,0.586,0.999,0.636,43.941494447664,45.2425876883402,42.7480270019263,48.8190459781396,59.336211619447,64.669680343154,69.2242147006593,32.3757871368661,68.5026814481039,29.6050093569785
