"bcf_1k_pehe1","bcf_1k_pehe2","bcf_0.5k_pehe1","bcf_0.5k_pehe2","bcf_0.25k_pehe1","bcf_0.25k_pehe2","bcf_0.1k_pehe1","bcf_0.1k_pehe2","bcf_0.05k_pehe1","bcf_0.05k_pehe2","bcf_1k_tau_951","bcf_1k_tau_952","bcf_0.5k_tau_951","bcf_0.5k_tau_952","bcf_0.25k_tau_951","bcf_0.25k_tau_952","bcf_0.1k_tau_951","bcf_0.1k_tau_952","bcf_0.05k_tau_951","bcf_0.05k_tau_952","bcf_1k_tau_951w","bcf_1k_tau_952w","bcf_0.5k_tau_951w","bcf_0.5k_tau_952w","bcf_0.25k_tau_951w","bcf_0.25k_tau_952w","bcf_0.1k_tau_951w","bcf_0.1k_tau_952w","bcf_0.05k_tau_951w","bcf_0.05k_tau_952w"
8.11686377312253,10.6613650034023,8.19076388207353,10.8335686302192,8.17904055069365,11.0378202461477,8.913255994359,10.9697200223698,10.7158732203931,10.8387469863064,0.996,0.91,0.998,0.886,0.995,0.853,0.988,0.897,0.963,0.846,40.4936994230661,33.9569655255836,43.1331629069197,32.8660864258343,44.9109367318314,32.6196045465308,44.3348650141758,36.144808740596,48.081584708493,32.3005970858978
8.33691334296534,10.8883892150563,8.29032231471359,10.8573564302105,9.56901655431204,10.1979578618116,8.41972863213526,10.9952582849652,8.71473576572982,11.2375350975012,0.998,0.928,0.996,0.932,0.992,0.914,0.995,0.915,1,0.844,46.3254730410548,40.793628911718,46.7397325491681,39.8789311489389,47.394664053731,35.5986048604124,45.8762528889803,39.9226116299016,48.7276209422527,34.6617353502662
11.4705632204573,8.39899498152065,11.657186785525,8.07238166292637,12.7064055846327,8.64872707151954,11.6048935071907,7.53477690438016,14.2466293872446,9.55934157006553,0.931,1,0.836,0.997,0.94,0.981,0.975,0.998,0.911,0.934,37.2524298188043,38.005549278756,31.7286131796912,39.6378303199578,41.650979267431,34.4906472341684,44.002755981779,37.241297931797,40.4780679301422,37.9619850995698
6.92632375321798,5.59790880536047,6.77330042973392,5.2212779818786,7.19456651830511,6.28090836908403,8.41717736360789,6.401085148493,7.06300043458621,6.79992247536928,1,1,1,1,1,1,0.977,1,0.999,0.999,43.5552747493444,48.4686331017038,47.9862378383926,46.3692149436043,42.9786298197741,42.3610267963369,36.8188732843809,50.099005586911,50.2186784341646,49.2341726991744
11.1314827451887,6.99466219528968,10.9023514392346,7.76162975044455,10.7228007193034,6.95015214880922,9.9629453450497,6.98988938003784,12.5819861141598,7.21828747653369,0.978,1,0.987,1,0.982,1,0.982,1,0.967,0.999,53.4219988412158,44.8630066669551,54.5209793168811,44.9191329915603,50.6450500786853,49.6918614561162,46.5892291765024,45.7830404649373,53.74161024628,45.2414756697368
15.2037263013422,9.54402091411621,15.3664335399033,9.96128922030233,15.9264667352941,9.29566085098257,16.1069948096106,9.05024423187075,13.159057020197,10.0506245795319,0.844,0.997,0.864,0.963,0.759,0.991,0.801,0.975,0.733,0.976,45.3909735462095,44.8413457661858,49.4123307633719,42.9064996315645,41.9609929937145,42.7755529456091,41.8123067552028,36.777149121555,32.5725333361519,46.6141839750854
18.1554917385785,12.4198395573392,19.9140168529672,12.912557696396,19.2191555967171,12.4124247647125,19.0925880524081,12.4881322196358,17.8852457591908,12.2238581872982,0.625,0.874,0.579,0.872,0.558,0.898,0.322,0.837,0.645,0.805,37.7809348580122,35.9085956967582,39.7757028552502,37.2367848532266,35.644034702977,39.0926020568473,26.7300691655034,36.0458474544621,36.4158832147583,32.2256004817069
7.22730638586319,9.28519685309079,7.56686707128573,11.8993336567375,7.3515599671974,9.46119316389526,7.619498635145,9.02694894367873,6.94882581120863,9.57794884274859,0.999,0.993,0.994,0.863,1,0.967,0.993,0.987,0.996,0.945,39.4859777591584,44.9670754181597,39.7520037794092,36.5077376307719,36.8280294955161,41.6847368082163,36.7141110197048,42.070160352892,34.9452287951999,41.603724286166
14.1168573495348,7.92982432586372,14.6998334254886,8.71408275149925,15.2975458880169,8.24011341708863,15.5662736126241,8.00965876679872,15.1011863554688,10.9416950140566,0.96,1,0.945,1,0.925,1,0.893,1,0.908,0.996,55.6851118277116,51.2782457772324,58.7502415064304,51.0827122475255,54.9439866036907,55.3799854297751,51.9445455344614,50.763013454988,51.8493427367236,54.7136922654088
8.45800675549807,9.12022602061565,8.39335069443086,8.87538659766416,8.37897571597886,9.05910247124721,8.71648131566346,10.0869108633542,9.80501449187258,10.0755240098018,0.996,0.989,0.989,0.995,0.99,0.981,0.982,0.972,0.959,0.961,46.0087916214837,45.1260227705231,45.5406843267826,47.1613669354182,44.5649214467421,41.1540216364075,40.4411076481277,41.5895352464957,47.8045042352015,40.3833411853045
