"mvbcf_1k_pehe1","mvbcf_1k_pehe2","mvbcf_0.5k_pehe1","mvbcf_0.5k_pehe2","mvbcf_0.25k_pehe1","mvbcf_0.25k_pehe2","mvbcf_0.1k_pehe1","mvbcf_0.1k_pehe2","mvbcf_0.05k_pehe1","mvbcf_0.05k_pehe2","mvbcf_1k_rmse1","mvbcf_1k_rmse2","mvbcf_0.5k_rmse1","mvbcf_0.5k_rmse2","mvbcf_0.25k_rmse1","mvbcf_0.25k_rmse2","mvbcf_0.1k_rmse1","mvbcf_0.1k_rmse2","mvbcf_0.05k_rmse1","mvbcf_0.05k_rmse2","mvbcf_1k_mape1","mvbcf_1k_mape2","mvbcf_0.5k_mape1","mvbcf_0.5k_mape2","mvbcf_0.25k_mape1","mvbcf_0.25k_mape2","mvbcf_0.1k_mape1","mvbcf_0.1k_mape2","mvbcf_0.05k_mape1","mvbcf_0.05k_mape2","mvbcf_1k_tau_951","mvbcf_1k_tau_952","mvbcf_0.5k_tau_951","mvbcf_0.5k_tau_952","mvbcf_0.25k_tau_951","mvbcf_0.25k_tau_952","mvbcf_0.1k_tau_951","mvbcf_0.1k_tau_952","mvbcf_0.05k_tau_951","mvbcf_0.05k_tau_952","mvbcf_1k_tau_951w","mvbcf_1k_tau_952w","mvbcf_0.5k_tau_951w","mvbcf_0.5k_tau_952w","mvbcf_0.25k_tau_951w","mvbcf_0.25k_tau_952w","mvbcf_0.1k_tau_951w","mvbcf_0.1k_tau_952w","mvbcf_0.05k_tau_951w","mvbcf_0.05k_tau_952w"
0.731640989338032,0.893932273035707,0.742618037171004,1.16279869172091,0.829685648967854,1.28378676907691,0.940596152081683,1.47774837260706,0.89986764391244,1.40292398700369,1.8786485063928,5.06595953207532,1.74646904717895,4.89097054723579,1.89059299285134,5.0637309202537,1.84584586048007,5.0099985506109,1.90674886294205,4.94885585593515,3.23839248671641,0.947600006347907,3.47781418169458,1.09783263935467,3.43537858736287,1.22259247402256,3.53909304342643,1.25583289227185,3.48129294610656,1.40991221102188,0.852,0.872,0.84,0.733,0.779,0.707,0.647,0.491,0.787,0.599,1.58429913509238,1.60651217733204,1.52510869582496,1.66577610188126,1.60937676207788,1.90687742083458,1.38111323595944,1.60207738002107,1.60297889775252,1.74740222322301
0.621737074554938,0.976879583322731,0.561972043532721,0.814674610160688,0.576004472509032,0.840032760622591,0.704661927401225,1.10681687320356,1.10950694048861,1.58854734922696,1.91619554739151,5.06195734999039,1.88227328200567,5.07054164369453,1.86393199813117,5.04531838083717,1.94726136537253,5.09023078348235,1.81692757398254,4.88342600164794,3.45096928415533,1.67443778046195,3.37064108827287,1.66355662718033,3.53604123157332,1.3570404611516,3.6853047960487,1.48312179210696,3.96992874548393,1.54299570818949,0.865,0.768,0.859,0.784,0.803,0.651,0.71,0.543,0.505,0.305,1.51776670504011,1.84637814944777,1.39400903035389,1.71594288674336,1.27596918845369,1.45600430360314,1.18832428883662,1.61343187010093,1.52738321654302,1.63038927242683
0.63298008421006,0.870946406623072,0.637046099672181,0.997754240383748,0.68543539573124,1.23495411671795,0.716450547550855,1.17577619274998,0.947926576604265,1.56257138734312,1.91774784022348,5.12013879441878,1.88283374187656,5.20625924642641,1.90108585275142,5.14933542309009,1.87344964477403,5.1144420023781,2.01593448773297,5.11566366441848,3.36383001236977,1.65575434021943,3.42402939858699,1.48154224924883,3.55720627354333,1.49311023247766,3.42569533995859,1.62316392351241,3.62156325228847,1.71743730827372,0.809,0.723,0.824,0.652,0.802,0.492,0.753,0.637,0.617,0.481,1.45800260412579,1.62661386806251,1.29044733758354,1.40460699594343,1.41568568122678,1.48378457727879,1.26858562169696,1.31132040715005,1.77097330162785,1.74103901753537
0.474837283134395,0.702015754704083,0.590640214770692,0.718052184730548,0.756105615337772,1.14052538520685,0.798563238788148,1.17795442671532,0.883117526954633,1.42668674841846,1.80720129140953,4.92606522831171,1.86383571936517,4.94502678654927,1.81339315851791,4.94944302411034,1.88207930877636,4.91106325215918,1.93096161513151,4.93729968810016,4.90391082287771,1.26276421950462,5.10810716412551,1.17077713561052,4.5163755665612,1.29416384966479,4.67707811383523,1.38516701616186,5.00073381469744,1.53933940093605,0.924,0.756,0.728,0.82,0.708,0.655,0.673,0.637,0.659,0.58,1.29952840919173,1.4879413309179,1.32514196377636,1.70560724445374,1.50606840228943,1.87170488249914,1.41173899492082,1.8617514530208,1.53317109040287,1.91170857338615
0.544297122072428,0.848210811019583,0.553738501404924,0.913228527814851,0.644458448091286,0.920994955562753,0.698692645273088,1.12554225174144,0.837082009422187,1.44119123847518,1.79362943997666,5.05949563409625,1.79011320797564,4.99311854513732,1.84177282765906,5.06816894117272,1.8505846682249,5.10280550174019,1.97429726477974,5.09837948461941,11.2270063511727,1.14950537177968,10.2030550320687,1.30113509118405,10.0937546453481,1.1543413809184,10.7572682801322,1.34088862426616,11.2869962019103,1.34235521881734,0.892,0.832,0.878,0.76,0.882,0.852,0.729,0.704,0.585,0.638,1.28002201264294,1.34791758856886,1.28483743225017,1.50796529176603,1.52662761780722,1.74946045134586,1.29296322482387,1.403578300749,1.36824571804025,1.62853313286934
0.4886436793516,0.729230667213678,0.7738165168114,0.926117920315813,0.730731475196512,1.01434826257015,0.707087654855822,1.01300676076419,0.83147260756832,1.30960730392709,1.87701308195713,4.99272006754336,1.9941228103602,5.14146200739887,2.0283341367817,5.19619157765159,2.09831012161948,5.21394799342525,2.02876772677462,5.12461964178576,4.1107232296284,1.94078530504388,3.99662177641512,1.97976790329697,3.73230966370537,1.72248226714819,3.94644644558375,1.97546179237895,4.4376212328245,1.84227383305547,0.927,0.71,0.69,0.698,0.73,0.59,0.801,0.687,0.723,0.573,1.59232987261022,1.62282338099554,1.38047579827212,1.57164759378374,1.46270610505105,1.60733899778042,1.58655875380228,1.80588784167483,1.74261849282638,2.11146216913541
0.552287177846382,0.733660388569482,0.580575358744874,0.932412912241363,0.59455247864412,0.860005576608438,0.635633134047621,1.04318846700522,1.00609728367137,1.39952581113131,1.84684156989685,5.21029510222175,1.77552146021804,5.17101525938489,1.83519541073803,5.22918873829919,2.01503178825853,5.28884562727827,2.03361810705792,5.26697306685702,3.28048006595363,0.84903879780256,3.35876264572379,0.883529478036134,3.2125086570415,0.824652513477235,3.37713318278527,0.958894002995611,3.20463675674143,0.988443622230399,0.864,0.847,0.899,0.825,0.791,0.784,0.906,0.775,0.573,0.526,1.5802571326228,1.67347956055674,1.49406916696695,1.53103082090886,1.32245585492384,1.50250019345339,1.53435809437468,1.98402211965529,1.65832773237269,1.94397433752805
0.545632675036408,0.849417444408326,0.536149971528614,0.851399800154911,0.664727309395229,0.990946954605972,0.752320388624865,1.35688445062582,0.777925192454217,1.30235435689217,1.81711530757063,4.9857831548276,1.80665738023545,5.00346320294345,1.85141433387359,5.02349444746274,1.89095816146142,4.99536794521238,1.9043032351611,4.83638787362387,5.36654783826581,1.31641878827723,5.38151333309852,1.25209354246021,5.19672168057368,1.27938534083864,5.24999465018752,1.27290755963033,5.90840064211066,1.53405171833357,0.866,0.864,0.905,0.775,0.829,0.704,0.668,0.409,0.691,0.611,1.34489022210267,1.67870930876041,1.44112204533394,1.56913295787555,1.20063835772907,1.46935808063971,1.3223627485759,1.59572570787923,1.57714520595476,1.8017903212538
0.488001099051358,0.810885551630876,0.512099198211697,0.889555328905234,0.527387609781895,0.997578204041879,1.10918582063814,1.88860414252561,0.841921609602607,1.37105876947735,1.78699952072602,5.08909301959588,1.77136960850931,5.10310342268046,1.71149523625505,4.92859061320761,1.94133313436432,5.21896753732281,1.99492330162621,5.28893051047032,2.27004842224117,1.31706232109663,2.29421615304322,1.31858865494109,2.34262144650322,1.16666467304533,2.26651304209102,1.51288494233816,2.17188197002654,1.36231489019361,0.84,0.735,0.814,0.702,0.835,0.699,0.369,0.318,0.598,0.516,1.00661000115356,1.13725084820697,1.29594483529873,1.54426329308795,1.17604848060609,1.37361452488779,1.13319600335959,1.49268895494989,1.42940104655389,1.70217970732985
0.677388044904901,0.856966692736507,0.896057497794987,1.00785438790994,0.723323085021421,1.12747473515357,0.658993051735916,1.11785028153777,1.04218769586765,1.4218355540489,1.85490211372904,5.02131282752529,1.85659487580246,5.06195124296083,1.84236930214566,5.02009740089221,1.8527502798289,4.9551128482492,1.90039456562423,4.9360208197347,4.07705527378713,2.88133420852063,4.65127166607073,2.4993249697963,4.21787675733273,2.28847551652534,4.69003918472791,2.08625596987454,4.36339509021254,1.75202754097441,0.844,0.794,0.568,0.726,0.783,0.661,0.813,0.666,0.543,0.621,1.85041585185529,1.91922924366536,1.42740082658161,1.6504442536137,1.52054417747316,1.73050150503328,1.42494532514451,1.61181816109386,1.55005186932632,2.04323595672092
