"bcf_1k_pehe1","bcf_1k_pehe2","bcf_0.5k_pehe1","bcf_0.5k_pehe2","bcf_0.25k_pehe1","bcf_0.25k_pehe2","bcf_0.1k_pehe1","bcf_0.1k_pehe2","bcf_0.05k_pehe1","bcf_0.05k_pehe2","bcf_1k_tau_951","bcf_1k_tau_952","bcf_0.5k_tau_951","bcf_0.5k_tau_952","bcf_0.25k_tau_951","bcf_0.25k_tau_952","bcf_0.1k_tau_951","bcf_0.1k_tau_952","bcf_0.05k_tau_951","bcf_0.05k_tau_952","bcf_1k_tau_951w","bcf_1k_tau_952w","bcf_0.5k_tau_951w","bcf_0.5k_tau_952w","bcf_0.25k_tau_951w","bcf_0.25k_tau_952w","bcf_0.1k_tau_951w","bcf_0.1k_tau_952w","bcf_0.05k_tau_951w","bcf_0.05k_tau_952w"
41.8768986910154,9.17957990066439,40.9144443045753,9.202680087325,42.2553340959165,9.05238540849635,44.7864671525817,19.4834831329314,92.4235459723189,13.098888095894,0.507,1,0.439,1,0.592,1,0.785,1,0.415,0.997,96.2113545424262,70.5387463290881,88.4803024044089,100.83354484,110.347505249584,85.6593694841304,188.006345572682,88.4965201285862,268.860215902626,65.3901100743445
46.4046292881095,12.5808199213844,47.6085962189417,13.6421074543848,46.2714183493191,9.31581619631262,42.9710799731392,11.5741665121295,27.3853296121555,16.1742104635723,0.1,0.998,0.198,0.993,0.444,1,0.361,1,0.622,0.966,70.2069979916209,64.9266960458575,97.6547501777481,74.9951773447019,119.164164955822,104.356517556585,106.789100489069,79.1964672010888,93.006024303388,82.1116109716542
37.2897561937331,8.99782211655558,35.3325937016523,6.73778888800827,36.8904661474347,13.4945794081974,22.8138300186512,12.4306571164531,24.7742167694491,17.9326373051589,0.187,0.999,0.64,1,0.572,1,0.734,0.997,0.704,0.981,60.7672526126409,56.1503659857791,80.1854656617681,111.914911961164,83.0742820391378,102.457260282136,70.7578902272317,86.8239714018596,72.2219713511242,85.3794280247938
50.4643181592994,9.51239334833417,44.1242258258612,8.92255877984602,46.1547047519078,8.9394314733973,47.3900432122694,14.757785684687,43.8103942975029,11.8689506581648,0.258,0.987,0.347,1,0.544,1,0.735,1,0.557,0.949,106.632239566743,49.6646738220419,82.3348570787554,54.7060701056846,107.14505155102,45.9648181472404,140.354797847644,132.636692489556,104.957580184058,35.6131438778113
40.5739679030065,8.19161392173283,37.7157402857217,8.50287137431687,36.1028933593197,8.95341753458713,28.7507345532169,10.3011305784181,28.6814590160875,14.7120923516299,0.278,1,0.604,1,0.849,1,0.808,1,0.887,0.703,86.6892788535346,55.5140492943559,93.2801525842978,77.0287297028283,110.342538919025,47.9696477645315,87.2710171864609,113.28266329663,117.413278903427,35.8487900276979
48.1746354924745,10.3180281055079,48.5988040718542,11.8174275441149,65.5606217357975,14.162716367538,44.4431274194457,24.4202198548898,64.2093375470115,11.5706527197406,0.388,1,0.348,1,0.697,1,0.554,1,0.105,0.965,120.755433649821,66.6575108650791,97.9553085431065,98.2827172328738,216.171351390599,158.800660470796,109.081359588081,173.592577838289,181.616361095948,43.4851307766032
42.7346327331623,9.73388431238923,39.2987295843218,8.80131160665784,39.4572039584745,9.70074535945269,62.4157244060588,26.6184011904677,32.8603281077057,15.1080213852195,0.387,0.996,0.68,1,0.452,1,0.52,0.982,0.63,0.968,101.25259703409,68.3347361410939,83.6226419133129,58.8731630191209,91.3027375945933,114.365558349986,131.375452314689,86.8728355588628,79.9716609342776,68.7112185767591
35.6713054083597,8.47929161014256,36.1821126102588,10.351955134849,41.6517978366507,11.4785594308378,25.7406558192508,9.61032832825122,24.5495939083172,46.8720764512692,0.273,1,0.521,1,0.709,1,0.852,0.999,0.933,0.305,60.67286325571,53.8419107672061,99.5326644605949,97.9991042563577,178.56183879139,88.7824494583162,92.9956460235189,54.7028951342158,117.620054067098,78.4503458987931
40.6202039549381,8.05211117219988,40.3754751738408,6.61614375779957,44.3020488686642,7.54701076710013,31.4771285567123,5.3463737241864,14.367927844074,9.40815789617083,0.397,1,0.608,1,0.617,1,0.835,1,0.868,0.977,81.1794837388458,59.012332418329,101.788862445218,61.0070056789406,124.016749922124,80.3341377412128,135.790818178786,67.0133463526852,53.4204414363303,41.1496876711064
35.3078526276919,11.0642320283934,33.8851696458887,10.872241626856,35.6740193243478,19.411153619992,27.8793499807618,9.22179300122658,18.1055344693803,16.9843965844969,0.507,0.992,0.568,1,0.866,0.998,0.801,1,0.9,0.885,93.807632719525,63.2939944618454,85.0226584232934,79.543045044971,141.57506693079,89.8290405610268,92.3887856914677,123.109634390598,92.2754058920031,49.6467953017669
