"mvbcf_1k_pehe1","mvbcf_1k_pehe2","mvbcf_0.5k_pehe1","mvbcf_0.5k_pehe2","mvbcf_0.25k_pehe1","mvbcf_0.25k_pehe2","mvbcf_0.1k_pehe1","mvbcf_0.1k_pehe2","mvbcf_0.05k_pehe1","mvbcf_0.05k_pehe2","mvbcf_1k_tau_951","mvbcf_1k_tau_952","mvbcf_0.5k_tau_951","mvbcf_0.5k_tau_952","mvbcf_0.25k_tau_951","mvbcf_0.25k_tau_952","mvbcf_0.1k_tau_951","mvbcf_0.1k_tau_952","mvbcf_0.05k_tau_951","mvbcf_0.05k_tau_952","mvbcf_1k_tau_951w","mvbcf_1k_tau_952w","mvbcf_0.5k_tau_951w","mvbcf_0.5k_tau_952w","mvbcf_0.25k_tau_951w","mvbcf_0.25k_tau_952w","mvbcf_0.1k_tau_951w","mvbcf_0.1k_tau_952w","mvbcf_0.05k_tau_951w","mvbcf_0.05k_tau_952w"
9.02744570176863,10.5830203270289,9.4617674688826,11.2569406670444,9.90326516562755,9.36184294101203,8.82060942912873,10.4381930978976,12.1531393274962,12.0206282199598,0.971,0.924,0.961,0.895,0.916,0.929,0.874,0.912,0.741,0.723,36.1426146744583,36.793637021601,36.5001637678787,37.9176699072627,35.3094874890356,33.529293866858,28.8554842803516,33.2888281660322,29.134179472549,31.9742129828936
7.46061823660654,5.35153706612928,8.82657328489533,5.73741812939797,7.72684346431178,7.32522381743162,10.3483617858734,7.11016131569716,9.99417817819127,8.88567577486802,0.998,1,0.981,1,0.997,0.997,0.963,0.995,0.944,0.942,45.1708624002153,44.945287527593,41.6093747036425,45.6408118702325,37.9523508239251,45.3745169952237,40.5490520109989,40.4586908650885,39.2910170345971,36.7175629332603
8.99301866416558,7.46903880698315,9.10485447341026,7.90775356024593,9.77024516522083,7.54668983603207,10.9807297883608,10.6079172763626,14.3273681497687,7.66067428645373,0.932,0.993,0.996,0.988,0.955,0.987,0.716,0.884,0.767,0.955,36.0387017126926,38.3223801775472,37.2373661070214,35.9498115893552,39.2950862238515,38.943115781195,24.1975078119123,29.7582327148616,37.2524488524972,38.3893797828197
8.72564347981787,8.60963537990901,10.9559511518687,9.02769532010103,10.4752633790482,10.0719951548095,9.56003951347039,9.62814471849213,13.9356438929116,9.58753828879214,0.998,0.997,0.965,0.987,0.973,0.923,0.948,0.933,0.8,0.823,46.3854763869671,40.4065336943147,48.6941182293221,39.8141434918841,46.4355019949736,36.725172920813,39.4045161067167,37.8979155434241,36.6778977464773,28.3369380343848
6.06041877491873,6.24259147525589,5.90873357245248,6.66365021689586,4.39357456368151,5.3429529152651,7.91108597880135,9.19640261862467,9.82243153666822,8.64669100255868,1,1,1,1,1,1,0.948,0.934,0.81,0.8,39.3510480486173,37.819239249653,37.7623299042134,37.1274235613822,38.643966680892,37.3203964360126,33.95800213951,28.8221919462026,27.5480214582328,21.4754906255518
9.28320342353587,7.97672169872265,7.96560617921094,7.06090896495465,9.01474512066849,8.99758273470172,9.5956298377882,6.70478443699747,9.02708113464249,8.28983750970505,1,1,0.998,1,0.995,0.995,0.787,0.999,0.87,0.919,41.3810843764254,42.9118446805248,41.1191925472204,40.7729567650138,38.4646651373485,40.6294513100929,31.7919736362803,33.0993184490087,29.8220794560817,29.6664902001758
7.04215974959206,8.41963564286929,6.03268946888489,8.14449340776665,7.56764153918184,8.8171367930312,5.40241719164969,7.79902490685243,7.56089433989999,9.2025633564425,1,0.988,1,0.999,0.989,0.966,1,0.945,0.889,0.851,40.0209589569828,37.5355929432309,39.9752810381808,41.2165633175192,40.6199986233597,35.7035011868255,38.8111903817859,33.3759259114894,26.9595581291546,29.5401211845178
8.2048156746002,12.6802826171335,8.31186661368498,13.1611981833997,7.71602838013807,12.9327396578732,7.80834268905195,12.6252046304076,9.36770055911188,11.6641236828043,0.969,0.898,0.979,0.823,0.973,0.843,0.964,0.778,0.827,0.646,34.6967029790287,39.5510067108768,36.0104759679457,41.6600075071092,33.0365555395626,38.897200032807,32.6397998593607,39.2617373320631,26.5505862029029,27.7091106699555
7.57441320627481,5.46294970032446,8.37971887211842,5.68790516974731,7.7715810357986,5.09508095158461,9.74445990688742,6.09124610017906,6.96282393456377,6.11958091813833,1,1,1,1,0.999,1,0.93,0.999,0.938,0.97,41.8224065555034,39.7815484570254,41.3478576147393,39.2725003360171,39.4659857151076,40.4669761492595,32.9765358498202,39.0944136759301,27.9545372730685,31.9269542210629
8.71950669428257,11.2199656381525,9.0542110873848,12.9934506891069,9.31082195646617,12.2446176400999,8.91618420386115,12.5797007779958,8.49428786924912,11.3177592030952,0.98,0.921,0.979,0.822,0.959,0.884,0.927,0.824,0.937,0.81,38.2045229025449,37.0147604360097,39.0447348805472,37.4244925605525,38.3328225573141,36.9264562303717,34.0831999076835,37.3284081738137,32.573270157209,33.0768565131417
9.40077924853275,10.668808107919,7.81532277671206,9.66970347029998,9.40289629221572,11.8433019422294,8.93138266165128,12.9876420420897,8.72248685773407,14.1575424898171,0.976,0.918,0.996,0.96,0.953,0.834,0.925,0.81,0.955,0.835,43.2295588202244,39.0343433200587,39.085312211605,37.7970763471114,39.7768537336351,34.4182089231955,32.5343716188817,35.3344731353947,35.9355811456426,39.7638049774231
7.27435267603032,9.95232344167242,7.09999849050369,8.98866014284242,7.51941607603484,10.1613551207,8.42937194933622,9.30038999187754,6.82218236760036,11.0257358936888,1,0.916,1,0.932,0.989,0.867,0.917,0.894,0.969,0.736,39.2148657780258,36.9931206205317,34.9017147098968,35.8006807094897,37.8473672488858,31.8131566609067,30.7271765390524,33.8406286267595,34.6683575370646,29.2331703368366
7.45888507311215,14.3747172639157,7.43410792427518,16.2053393136806,7.59900259259722,12.8003811457725,10.1730818182037,16.4876946350427,10.0570172903273,15.1821947257236,1,0.733,0.996,0.603,0.974,0.838,0.939,0.521,0.862,0.656,40.0391593087906,36.8288984659722,35.3558759648065,35.2876023460939,33.5688261022468,37.0979226716883,36.5660173455173,34.7768313685125,32.6796785968703,33.7729032721921
7.70028423412916,8.76113264549132,8.29779246093489,8.1615967210725,9.36920578391528,8.68272235111651,8.71482695561491,9.62173203774619,8.76378804081145,10.4518125656974,0.998,0.988,0.988,0.991,0.918,0.947,0.911,0.958,0.96,0.832,38.0640701802592,39.7268772508323,38.3235536641363,38.9715580402012,36.0916933753402,35.4558937232025,33.9420047711913,36.1904556894498,33.2528546460154,32.6548801734755
16.3606200387146,9.81411974882768,16.3135671073657,10.4053401626636,16.1391980698075,8.28305904870935,15.7699327078805,8.9122062148648,17.3484402811295,13.8962421269257,0.791,0.98,0.749,0.987,0.661,0.993,0.642,0.889,0.601,0.529,42.284103733396,42.6356264768336,39.4155631682242,42.3106325833756,36.3340484988575,36.5888866087137,33.7775571975581,29.7235963482403,33.049613676196,26.0007560658221
8.91499426413918,10.7519429975665,9.048786414614,10.7451678869752,9.38497677185551,11.4492605126193,8.07308227855259,11.1618496908692,9.82293935582564,14.3279557387366,0.997,0.981,0.986,0.971,0.963,0.961,0.957,0.872,0.935,0.686,44.8479297464056,42.435573041436,42.3723285143196,40.0144749698646,40.6642569486631,41.4467644986766,35.1257986987621,37.0055436834497,35.3742971392642,30.7277466296176
12.0504815981148,6.11757411426681,10.1341314311461,4.45059590010893,11.6225489696115,5.95242498295883,13.0519395342853,6.57684665794186,12.3526721347509,7.13000062057498,0.936,1,0.999,1,0.965,1,0.859,0.996,0.83,0.995,44.9327037092478,39.1952362890822,48.1072511482733,42.2060559475865,45.5845698369568,36.7893024166725,40.5095239464168,39.0788466729003,40.1368614735214,40.0672237661104
8.04363296551818,10.5733955830526,8.45399298623926,10.468397812502,8.25918511030486,11.2093102724779,7.41858567647656,11.162303734203,7.91469312813554,11.7821157749523,1,0.969,0.967,0.975,0.999,0.966,0.981,0.918,0.896,0.755,38.5235559164969,43.8393244455103,35.8037608262795,44.7520798554691,41.4682189233004,43.0221911032129,35.9968992269146,43.1935570062,27.6910191913615,29.5206453696818
