"bcf_1k_pehe1","bcf_1k_pehe2","bcf_0.5k_pehe1","bcf_0.5k_pehe2","bcf_0.25k_pehe1","bcf_0.25k_pehe2","bcf_0.1k_pehe1","bcf_0.1k_pehe2","bcf_0.05k_pehe1","bcf_0.05k_pehe2","bcf_1k_tau_951","bcf_1k_tau_952","bcf_0.5k_tau_951","bcf_0.5k_tau_952","bcf_0.25k_tau_951","bcf_0.25k_tau_952","bcf_0.1k_tau_951","bcf_0.1k_tau_952","bcf_0.05k_tau_951","bcf_0.05k_tau_952","bcf_1k_tau_951w","bcf_1k_tau_952w","bcf_0.5k_tau_951w","bcf_0.5k_tau_952w","bcf_0.25k_tau_951w","bcf_0.25k_tau_952w","bcf_0.1k_tau_951w","bcf_0.1k_tau_952w","bcf_0.05k_tau_951w","bcf_0.05k_tau_952w"
39.4811946098855,9.74540201707681,39.3128403601582,10.0178146610443,39.5048620059911,9.33738671378495,40.177616537919,9.25133593909734,38.6710778802691,9.92017118462427,0.309,0.965,0.304,0.951,0.342,0.949,0.184,0.944,0.145,0.913,60.5015355934272,38.7032969281594,59.6875408025335,39.2888901326456,61.4091984500634,38.3927665040156,53.9635602325713,36.7310916887635,47.4516129060434,35.7432640238848
45.494022041041,12.8151424072362,45.8632239014627,12.6485526979504,45.1741368426425,13.1127678090834,46.1293281644994,11.8546063091361,46.7420495529661,13.549992258767,0.073,0.989,0.099,0.988,0.101,0.983,0.058,0.987,0.155,0.97,54.222392928368,61.8701764595065,56.6336163536765,60.1566136761726,54.8908015587334,61.6754868337419,51.4569366082819,59.1169477389269,55.1349090053734,55.5057186520669
36.4412367863003,8.22416543568942,36.2960147209081,8.43666749226036,36.8717716323493,8.37938558703825,36.3052277941948,8.44381484413662,36.5182647587863,8.29853235659124,0.103,0.997,0.095,0.99,0.149,0.994,0.101,0.991,0.016,0.992,46.9310694344743,47.3491770334131,46.8915616834357,44.0915109658799,51.0253608778844,47.0554387497869,45.2994188828787,42.5982548353621,34.602097944751,47.455138709149
46.924716820809,9.35207260963741,46.2585390783401,9.07611206667153,46.3396916353224,8.86690184888722,44.6234753608034,8.79066177025118,44.9397858676614,9.45581777512753,0.227,0.977,0.218,0.975,0.191,0.982,0.119,0.963,0.169,0.961,63.7294589849225,43.3960466660542,61.5187355850301,40.4707860226576,62.6339832092325,41.1454164622915,54.0865102555512,38.1942409898198,52.73065678049,38.5254682312949
38.5260417112197,7.92189079531076,37.9415537348017,8.13225414399638,36.9725758940054,7.85092576450405,39.1306209215755,7.91964030881254,38.4160785396876,8.30371562147599,0.231,0.99,0.189,0.992,0.232,0.993,0.201,0.993,0.185,0.95,59.416943852134,37.5911892066621,56.3929341968247,37.95099706838,57.0486967559901,38.7804219956784,57.6524645426615,38.2533606678634,54.0782669065061,31.5738626591354
48.1104480089912,9.90369180776879,47.681500211246,10.7475904102588,47.8937684564549,10.4622796049807,48.685856327862,11.8826658165302,48.6395970427331,11.2001248069117,0.12,0.999,0.137,0.993,0.147,0.996,0.089,0.986,0.195,0.975,58.2428022418829,57.4819136557891,60.2927936154476,57.0413138681339,59.2657728456307,56.4409589323122,56.3354361025276,57.9274072866926,63.6657299691578,51.1013480308176
41.0228648171573,9.38478955367535,41.4191211525501,9.38322640410151,40.9882499628266,9.58077003537943,40.1252256222312,9.2917622220299,40.9078690011951,10.7664531475085,0.226,0.972,0.199,0.966,0.3,0.945,0.073,0.972,0.159,0.898,58.4190350421967,39.1705285731453,56.6626965285388,39.2080321097239,61.8190334655046,38.3111696932663,46.7260282476561,40.429415068923,55.2983693898508,38.8895798405554
35.5130837685621,8.51974300159213,35.4778144122558,9.24879359857719,35.0604156047775,9.05538742053362,34.90864871986,8.28130390654058,34.8969464014829,9.46538036950093,0.138,0.987,0.105,0.99,0.169,0.99,0.153,0.983,0.08,0.979,47.8919837771734,42.09732390813,45.3075041730863,47.4268659848334,48.5396178233672,49.622256280234,47.5913263981112,40.4010388825301,40.1466100673407,45.8470808172376
40.1625482068652,8.64290761478089,41.0759983632569,7.87724024856993,39.7332512471334,8.7474984687947,40.7076911600648,8.42746508311052,37.2772341768038,9.48335800134719,0.324,0.999,0.335,1,0.218,0.999,0.314,0.998,0.14,0.983,64.4896433343239,51.7406601784052,63.923108418618,52.3218135305063,59.174252025267,53.2855031600773,62.2059559830073,48.6977331911841,49.3202839267961,47.0439013916204
33.5614574210847,10.3610100553842,32.9346931755318,10.4102013324597,33.3807751419671,9.76139503397195,32.1668405029279,10.6547957010421,33.6446871771093,10.515688643097,0.247,0.944,0.247,0.95,0.143,0.902,0.308,0.939,0.24,0.895,51.8109178542541,40.3150485108825,49.7305180321075,41.264766737617,46.38739468812,34.5865374794836,52.2367746400162,40.2235207925883,48.7258081125022,35.2625829380079
